"Name","File"
"Gill Sans MT Bold Italic (TrueType)","GILBI___.TTF"
"Gill Sans MT Condensed (TrueType)","GILC____.TTF"
"Gill Sans MT Ext Condensed Bold (TrueType)","GLSNECB.TTF"
"Gill Sans MT Italic (TrueType)","GILI____.TTF"
"Gill Sans Ultra Bold (TrueType)","GILSANUB.TTF"
"Gill Sans Ultra Bold Condensed (TrueType)","GILLUBCD.TTF"
"Gloucester MT Extra Condensed (TrueType)","GLECB.TTF"
"Goudy Old Style (TrueType)","GOUDOS.TTF"
"Goudy Old Style Bold (TrueType)","GOUDOSB.TTF"
"Goudy Old Style Italic (TrueType)","GOUDOSI.TTF"
"Goudy Stout (TrueType)","GOUDYSTO.TTF"
"Gulim & GulimChe & Dotum & DotumChe (TrueType)","gulim.ttc"
"Haan Wing2 (TrueType)","HANWing2.ttf"
"Haettenschweiler (TrueType)","HATTEN.TTF"
"Han Santteut Dotum Bold (TrueType)","HanSantteutDotum-Bold.ttf"
"Han Santteut Dotum Regular (TrueType)","HanSantteutDotum-Regular.ttf"
"Hancom Gothic Bold (TrueType)","Hancom Gothic Bold.ttf"
"Hancom Gothic Regular (TrueType)","Hancom Gothic Regular.ttf"
"Hancom Hoonminjeongeum_H (TrueType)","HancomHoonminjeongeumH.ttf"
"Hancom Hoonminjeongeum_V (TrueType)","Hancom HMJE_V.ttf"
"Hancom MalangMalang Bold (TrueType)","MalangmalangB.ttf"
"Hancom MalangMalang Regular (TrueType)","MalangmalangR.ttf"
"Hancom Ulju Bangudae Petroglyph (TrueType)","HancomUljuBangudaePetroglyph.ttf"
"Hancom Ulju Cheonjeonri Petroglyph (TrueType)","HancomUljuCheonjeonriPetroglyph.ttf"
"HancomEQN (TrueType)","HancomEQN.ttf"
"Harlow Solid Italic (TrueType)","HARLOWSI.TTF"
"Harrington (TrueType)","HARNGTON.TTF"
"HCR Batang (TrueType)","HANBatang.ttf"
"HCR Batang Bold (TrueType)","HANBatangB.ttf"
"HCR Batang Ext (TrueType)","HANBatangExt.ttf"
"HCR Batang ExtB (TrueType)","HANBatangExtB.ttf"
"HCR Batang ExtB Bold (TrueType)","HANBatangExtBB.ttf"
"HCR Dotum (TrueType)","HANDotum.ttf"
"HCR Dotum Bold (TrueType)","HANDotumB.ttf"
"HCR Dotum Ext (TrueType)","HANDotumExt.ttf"
"High Tower Text (TrueType)","HTOWERT.TTF"
"High Tower Text Italic (TrueType)","HTOWERTI.TTF"
"Holo MDL2 Assets (TrueType)","holomdl2.ttf"
"HyhwpEQ (TrueType)","HYHWPEQ.TTF"
"HY견고딕 (TrueType)","H2GTRE.TTF"
"HY견명조 (TrueType)","H2MJRE.TTF"
"HY궁서B (TrueType)","H2GSRB.TTF"
"HY그래픽M (TrueType)","H2GPRM.TTF"
"HY목각파임B (TrueType)","H2MKPB.TTF"
"HY신명조 (TrueType)","H2MJSM.TTF"
"HY얕은샘물M (TrueType)","H2SA1M.TTF"
"HY엽서L (TrueType)","H2PORL.TTF"
"HY엽서M (TrueType)","H2PORM.TTF"
"HY중고딕 (TrueType)","H2GTRM.TTF"
"HY헤드라인M (TrueType)","H2HDRM.TTF"
"Impact (TrueType)","impact.ttf"
"Imprint MT Shadow (TrueType)","IMPRISHA.TTF"
"Informal Roman (TrueType)","INFROMAN.TTF"
"Ink Free (TrueType)","Inkfree.ttf"
"Javanese Text (TrueType)","javatext.ttf"
"Jokerman (TrueType)","JOKERMAN.TTF"
"Juice ITC (TrueType)","JUICE___.TTF"
"Kristen ITC (TrueType)","ITCKRIST.TTF"
"Kunstler Script (TrueType)","KUNSTLER.TTF"
"Leelawadee (TrueType)","LEELAWAD.TTF"
"Leelawadee Bold (TrueType)","LEELAWDB.TTF"
"Leelawadee UI (TrueType)","leelawui.ttf"
"Leelawadee UI Bold (TrueType)","leelauib.ttf"
"Leelawadee UI Semilight (TrueType)","leeluisl.ttf"
"LiSu (TrueType)","SIMLI.TTF"
"Lucida Bright (TrueType)","LBRITE.TTF"
"Lucida Bright Demibold (TrueType)","LBRITED.TTF"
"Lucida Bright Demibold Italic (TrueType)","LBRITEDI.TTF"
"Lucida Bright Italic (TrueType)","LBRITEI.TTF"
"Lucida Calligraphy Italic (TrueType)","LCALLIG.TTF"
"Lucida Console (TrueType)","lucon.TTF"
"Lucida Fax Demibold (TrueType)","LFAXD.TTF"
"Lucida Fax Demibold Italic (TrueType)","LFAXDI.TTF"
"Lucida Fax Italic (TrueType)","LFAXI.TTF"
"Lucida Fax Regular (TrueType)","LFAX.TTF"
"Lucida Handwriting Italic (TrueType)","LHANDW.TTF"
"Lucida Sans Demibold Italic (TrueType)","LSANSDI.TTF"
"Lucida Sans Demibold Roman (TrueType)","LSANSD.TTF"
"Lucida Sans Italic (TrueType)","LSANSI.TTF"
"Lucida Sans Regular (TrueType)","LSANS.TTF"
"Lucida Sans Typewriter Bold (TrueType)","LTYPEB.TTF"
"Lucida Sans Typewriter Bold Oblique (TrueType)","LTYPEBO.TTF"
"Lucida Sans Typewriter Oblique (TrueType)","LTYPEO.TTF"
"Lucida Sans Typewriter Regular (TrueType)","LTYPE.TTF"
"Lucida Sans Unicode (TrueType)","l_10646.ttf"
"Magneto Bold (TrueType)","MAGNETOB.TTF"
"Maiandra GD (TrueType)","MAIAN.TTF"
"Malgun Gothic (TrueType)","malgun.ttf"
"Malgun Gothic Bold (TrueType)","malgunbd.ttf"
"Malgun Gothic SemiLight (TrueType)","malgunsl.ttf"
"Matura MT Script Capitals (TrueType)","MATURASC.TTF"
"Microsoft Himalaya (TrueType)","himalaya.ttf"
"Microsoft JhengHei & Microsoft JhengHei UI (TrueType)","msjh.ttc"
"Microsoft JhengHei Bold & Microsoft JhengHei UI Bold (TrueType)","msjhbd.ttc"
"Microsoft JhengHei Light & Microsoft JhengHei UI Light (TrueType)","msjhl.ttc"
"Microsoft New Tai Lue (TrueType)","ntailu.ttf"
"Microsoft New Tai Lue Bold (TrueType)","ntailub.ttf"
